street,school,loc
Jennings Road E,McKinley School, 722-750 006-33
Jennings Road E,Holland Hill School, 752-960 007-33
Jennings Road E,Fairfield Woods Middle School, 962-1266 003-32
Jennings Road E,Holland Hill School, 1268-1898 007-33
Jennings Road O,Holland Hill School, 721-1899 007-33
Jessica Lane A,Dwight School, 1-999999 001-34
Joan Drive E,Dwight School, 2-220 001-34
Joan Drive E,St Pius School, 222-598 002-34
Joan Drive O,St Pius School, 1-599 002-34
John Street A,Mill Hill School, 1-999999 010-32
Judd Street A,Fairfield Woods Middle School, 1-999999 003-32
Judges Hollow Road A,Dwight School, 1-999999 001-34
Judson Road A,Sherman School, 1-999999 009-32
Juniper Lane A,Mill Hill School, 1-999999 010-32
Kalan Circle A,Fairfield Woods Middle School, 1-999999 003-32
Karen Street A,Holland Hill School, 1-999999 007-33
Katona Drive A,Fairfield Woods Middle School, 1-999999 003-32
Kenard Street A,McKinley School, 1-999999 006-33
Kenwood Avenue A,McKinley School, 1-999999 006-33
King Street A,Fairfield Warde High School, 1-999999 005-33
Kings Drive A,Mill Hill School, 1-999999 010-32
Kings Highway Cutoff A,McKinley School, 1-851 006-33
Kings Highway Cutoff A,Holland Hill School, 853-1498 007-33
Kings Highway East A,McKinley School, 1-1899 006-33
Kings Highway East E,Holland Hill School, 1900-2398 007-33
Kings Highway East O,McKinley School, 1901-2255 006-33
Kings Highway East O,Holland Hill School, 2257-2399 007-33
Kings Highway West A,Mill Hill School, 1-999999 010-32
Kinnie Drive A,Fairfield Ludlowe High School, 1-999999 008-32
Knapps Highway E,Fairfield Warde High School, 2-656 005-33
Knapps Highway E,McKinley School, 658-1098 006-33
Knapps Highway O,Fairfield Warde High School, 1-641 005-33
Knapps Highway O,McKinley School, 643-1099 006-33
Knapps Park Drive E,Fairfield Warde High School, 2-20 005-33
Knapps Park Drive O,Fairfield Warde High School, 1-999999 005-33
Knollwood Drive A,Fairfield Woods Middle School, 1-999999 003-32
Labbance Lane A,Dwight School, 1-999999 001-34
Lacey Lane A,Fairfield Ludlowe High School, 1-999999 008-32
Lagana Lane A,McKinley School, 1-999999 006-33
Lakeside Drive A,Fairfield Ludlowe High School, 1-999999 008-32
Lakeview Court A,Fairfield Woods Middle School, 1-999999 003-32
Lakeview Drive A,Fairfield Woods Middle School, 1-999999 003-32
Lakeview Place A,Fairfield Woods Middle School, 1-999999 003-32
Lakewood Drive A,St Pius School, 1-999999 002-34
Lalley Boulevard A,Sherman School, 1-999999 009-32
Lamplighter Lane A,St Pius School, 1-999999 002-34
Lampwick Lane A,Dwight School, 1-999999 001-34
Lancelot Road A,Dwight School, 1-999999 001-34
Lantern Road A,Fairfield Ludlowe High School, 1-999999 008-32
Larbert Road A,Mill Hill School, 1-999999 010-32
Larkspur Road A,Fairfield Woods Middle School, 1-999999 003-32
Laurel Street A,McKinley School, 1-999999 006-33
Laurelbrook Lane A,Dwight School, 1-999999 001-34
Lawrence Road A,Fairfield Ludlowe High School, 1-999999 008-32
Lazlo Terrace A,Fairfield Warde High School, 1-999999 005-33
Lee Drive A,Mill Hill School, 1-999999 010-32
Lemon Court A,Fairfield Woods Middle School, 25-45 003-32
Lenox Road A,Fairfield Warde High School, 1-386 005-33
Lenox Road A,Fairfield Warde High School, 409-475 005-33
Leslie Lane A,Dwight School, 1-999999 001-34
Lewis Drive A,Fairfield Warde High School, 1-999999 005-33
Lighthouse Point A,Sherman School, 1-999999 009-32
Lilac Lane A,St Pius School, 1-999999 002-34
Lilalyn Drive A,Stratfield School, 1-999999 004-33
Limerick Road A,Fairfield Ludlowe High School, 1-999999 008-32
Lind Street A,Sherman School, 1-999999 009-32
Lindamir Lane A,St Pius School, 1-999999 002-34
Lindbergh Court A,Mill Hill School, 1-999999 010-32
Lindbergh Street A,Mill Hill School, 1-999999 010-32
Linley Drive A,Fairfield Warde High School, 1-999999 005-33
Linwood Avenue A,Fairfield Ludlowe High School, 1-999999 008-32
